,position,track_name,artist,streams,url
59,60,all mine,Kanye West,7946165,https://open.spotify.com/track/3qnoOm4fwZPBS116f5hpgF
60,61,emotionless,Drake,7924641,https://open.spotify.com/track/1v1IXPXl73Z7zy6f5tUa9n
61,62,clandestino,Shakira,7797932,https://open.spotify.com/track/7DrluKkTviBwCc8AV3VGmf
62,63,unica,Ozuna,7754505,https://open.spotify.com/track/6752EZMgXswvRBH3N2PilO
63,64,dura - remix,Daddy Yankee,7752843,https://open.spotify.com/track/6U2NuJILEOEpW2tVCuqKHb
64,65,new rules,Dua Lipa,7663629,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
65,66,if you're over me,Years & Years,7588783,https://open.spotify.com/track/1oc3jna2ablnfIKLYbKujl
66,67,in my mind,Dynoro,7587531,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
67,68,these days,Rudimental,7550971,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
68,69,all girls are the same,Juice WRLD,7542056,https://open.spotify.com/track/0XySogm94T51XF5F2jumXm
69,70,high hopes,Panic! At The Disco,7463975,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
70,71,love lies,Khalid,7427269,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
71,72,this is america,Childish Gambino,7311699,https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9
72,73,playinwitme,KYLE,7257632,https://open.spotify.com/track/4F1yvJfQ7gJkrcgFJQDjOr
73,74,everybody dies in their nightmares,XXXTENTACION,7234008,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7
74,75,madura,Cosculluela,7143094,https://open.spotify.com/track/0r9d60ZYPAlFHq8qnUtkXN
75,76,meant to be,Bebe Rexha,7100144,https://open.spotify.com/track/4e4fqjx0Izh4svvTef1z7e
76,77,believer,Imagine Dragons,6986327,https://open.spotify.com/track/5VKSZDsidOFHrtlJb33Syo
77,78,look at me!,XXXTENTACION,6929277,https://open.spotify.com/track/6eYxmK9fdL4hwLnXG2zY3s
78,79,nico and the niners,Twenty One Pilots,6899889,https://open.spotify.com/track/6ZIuit0z4eQg77F1RGkp0L
79,80,elevate,Drake,6889687,https://open.spotify.com/track/4uloft7ZE54WflsuqFmjC7
80,81,mine,Bazzi,6862576,https://open.spotify.com/track/7uzmGiiJyRfuViKKK3lVmR
81,82,perfect,Ed Sheeran,6802264,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
82,83,otw,Khalid,6762094,https://open.spotify.com/track/6Hgh47WXVKtXN5zGOu0hjI
83,84,por perro,Sebastian Yatra,6707725,https://open.spotify.com/track/2alIsNw1mqEShbWyO1HXZZ
84,85,i'm a mess,Bebe Rexha,6673449,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
85,86,thunder,Imagine Dragons,6560522,https://open.spotify.com/track/7BrsBU0BAytRDvROM4yCbn
86,87,hopeless romantic,Wiz Khalifa,6498571,https://open.spotify.com/track/7IBSffWIu7P2MC7kMwy2FM
87,88,can’t take a joke,Drake,6467254,https://open.spotify.com/track/7cfvP13Bqb1EyCZQiYsLum
88,89,wasted,Juice WRLD,6417691,https://open.spotify.com/track/3obgSF06ki98lYNLNq5vCB
89,90,estamos bien,Bad Bunny,6390645,https://open.spotify.com/track/7glCSQqV5o6NU88Cn4zPZn
90,91,the remedy for a broken heart,XXXTENTACION,6352364,https://open.spotify.com/track/4UKCKdYiLN6IMA5ZESUTL7
91,92,in my blood,Shawn Mendes,6342642,https://open.spotify.com/track/21YnmkSDhUkmkkni22Svc4
92,93,ball for me,Post Malone,6336227,https://open.spotify.com/track/6IaieqiCVvsNvEt6Y7yOFa
93,94,only you,Cheat Codes,6278527,https://open.spotify.com/track/54l9GJGQ1UCFKe2tzt1Vxt
94,95,shotgun,George Ezra,6114997,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
95,96,asesina,Brytiago,6109009,https://open.spotify.com/track/6rbhaJsE4uLzpPf8WYSHDK
96,97,new light,John Mayer,6108137,https://open.spotify.com/track/40FLJc17FMZaPmCQEEZgB0
97,98,walk it talk it,Migos,6080121,https://open.spotify.com/track/6n4U3TlzUGhdSFbUUhTvLP
98,99,audio,Sia,6077055,https://open.spotify.com/track/7boPPE857KEqCIHNwFkDop
99,100,freaky friday,Lil Dicky,5962499,https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ
100,101,calypso,Luis Fonsi,5941256,https://open.spotify.com/track/4178A5NkEjcsGc64jpBO6d
101,102,bella - remix,Wolfine,5933789,https://open.spotify.com/track/0SaYeGhSXN0dDWstyNTQ56
102,103,live it up - official song 2018 fifa world cup russia,Nicky Jam,5932775,https://open.spotify.com/track/4DnHUy01jEA4b5ydC3HgsT
103,104,plug walk,Rich The Kid,5919774,https://open.spotify.com/track/6mAz8D1TmlTuef90dbNIiZ
104,105,i fall apart,Post Malone,5878146,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
105,106,call out my name,The Weeknd,5740829,https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N
106,107,xo tour llif3,Lil Uzi Vert,5739170,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
107,108,ocean eyes,Billie Eilish,5628375,https://open.spotify.com/track/7hDVYcQq6MxkdJGweuCtl9
108,109,all the stars,Kendrick Lamar,5535661,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
109,110,dura,Daddy Yankee,5521398,https://open.spotify.com/track/6KuqAtoeVzxAYOaMveLNpH
110,111,el préstamo,Maluma,5520875,https://open.spotify.com/track/2XVilv6s9GETnw9PG4T9Mz
111,112,too good at goodbyes,Sam Smith,5514317,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
112,113,happier,Ed Sheeran,5510982,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB
113,114,síguelo bailando,Ozuna,5461168,https://open.spotify.com/track/5Y9fnynLlIvqtM710MHzfz
114,115,te amo,Piso 21,5438487,https://open.spotify.com/track/2RVrdr062uLFxXwIxwdXPH
115,116,ddu-du ddu-du - kr ver.,BLACKPINK,5417805,https://open.spotify.com/track/2CWnuF7ht55Ajyeg4WPvWu
116,117,enemies,Lauv,5417301,https://open.spotify.com/track/3JJYIoJ5FyY9E0DGjr7SXF
117,118,familiar,Liam Payne,5408831,https://open.spotify.com/track/0Y4hwUppbGc8aIBmiTz30A
118,119,ric flair drip,Offset,5332198,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
119,120,remind me to forget,Kygo,5329824,https://open.spotify.com/track/6xTU6B6nFwKKTSZ9ySXS80
120,121,i'll be there,Jess Glynne,5280557,https://open.spotify.com/track/083Qf6hn6sFL6xiOHlZUyn
121,122,wake me up,Avicii,5232627,https://open.spotify.com/track/4h8VwCb1MTGoLKueQ1WgbD
122,123,hope,XXXTENTACION,5230140,https://open.spotify.com/track/2ZRo7axmMPeSVUvDbGkJah
123,124,connection,OneRepublic,5202682,https://open.spotify.com/track/3T4UodGkfZObJ43RtA5KFU
124,125,blue tint,Drake,5189725,https://open.spotify.com/track/1Jrj3k5L36dPkU6KAclU7g
125,126,after dark,Drake,5178495,https://open.spotify.com/track/4IvenHmD0spfFDOKphoUDp
126,127,"big bank feat. 2 chainz, big sean, nicki minaj",YG,5147978,https://open.spotify.com/track/2RM4jf1Xa9zPgMGRDiht8O
127,128,i'm yours,Jason Mraz,5127210,https://open.spotify.com/track/3S0OXQeoh0w6AY8WQVckRW
128,129,drug addicts,Lil Pump,5126114,https://open.spotify.com/track/6tpHfEM8eaETzlPOARYWfZ
129,130,fr fr,Wiz Khalifa,5112027,https://open.spotify.com/track/1RagpNpkD3KcjXMLGMe99V
130,131,survival,Drake,5062291,https://open.spotify.com/track/71SEHJPt1iDwGkBhUOAXDP
131,132,japan,Famous Dex,5037749,https://open.spotify.com/track/5PTG6rrL6EPFD9E2QMI2pl
132,133,closer,The Chainsmokers,5013382,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
133,134,8 out of 10,Drake,4952719,https://open.spotify.com/track/5fcM0StdQxMjzulVGhFkHN
134,135,duro y suave,Leslie Grace,4858479,https://open.spotify.com/track/31M5m42C3EGlbydf9XB5to
135,136,ambiente,J Balvin,4857298,https://open.spotify.com/track/6VrBWh90BiwWmwKtvwWFcq
136,137,candy paint,Post Malone,4808894,https://open.spotify.com/track/32lItqlMi4LBhb4k0BaSaC
137,138,humble.,Kendrick Lamar,4807192,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
138,139,better not,Louis The Child,4789162,https://open.spotify.com/track/447yWcDPg1ddgcHBLGpJC0
139,140,without you,Avicii,4787369,https://open.spotify.com/track/6Pgkp4qUoTmJIPn7ReaGxL
140,141,mad love,Sean Paul,4780391,https://open.spotify.com/track/4dSoDnmR9opAQ8KxUc9SbC
141,142,échame la culpa,Luis Fonsi,4748325,https://open.spotify.com/track/2hl6q70unbviGo3g1R7uFx
142,143,perfect duet,Ed Sheeran,4708960,https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI
143,144,déjala que vuelva,Piso 21,4687464,https://open.spotify.com/track/1j6xOGusnyXq3l6IryKF3G
144,145,congratulations,Post Malone,4672318,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
145,146,dembow,Danny Ocean,4638970,https://open.spotify.com/track/2EzRdhuoPyNJDlep7lnNf2
146,147,summer games,Drake,4638607,https://open.spotify.com/track/0w1ZtnzQmtmuuoKxHT0pLL
147,148,talk up,Drake,4629311,https://open.spotify.com/track/3Yw09dj3cTXsAzlLjgBfIP
148,149,like to be you feat. julia michaels,Shawn Mendes,4619161,https://open.spotify.com/track/5QskYLFPX9y7pLU0VEMNbr
149,150,say you won't let go,James Arthur,4618131,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
150,151,i like me better,Lauv,4541035,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
151,152,feel it still,Portugal. The Man,4510386,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK
152,153,one dance,Drake,4500904,https://open.spotify.com/track/1zi7xx7UVEFkmKfv06H8x0
153,154,unforgettable,French Montana,4494646,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
154,155,wolves,Selena Gomez,4487861,https://open.spotify.com/track/0tBbt8CrmxbjRP0pueQkyU
155,156,more than you know,Axwell /\ Ingrosso,4485801,https://open.spotify.com/track/6h5PAsRni4IRlxWr6uDPTP
156,157,africa,TOTO,4471738,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX
157,158,something just like this,The Chainsmokers,4467219,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
158,159,somebody,The Chainsmokers,4462469,https://open.spotify.com/track/3pWcj8hxj3fsb9TDAcMpEl
159,160,let me live,Rudimental,4459041,https://open.spotify.com/track/3D1rlKmZdpYUeMtRRLNawc
160,161,like i do,David Guetta,4447594,https://open.spotify.com/track/6RnkFd8Fqqgk1Uni8RgqCQ
161,162,powerglide  - from sr3mm,Rae Sremmurd,4423747,https://open.spotify.com/track/1BuZAIO8WZpavWVbbq3Lci
162,163,lie,NF,4401900,https://open.spotify.com/track/07FkzikE6FuHIa8Ma7zJGc
163,164,that’s how you feel,Drake,4389320,https://open.spotify.com/track/0SVsEdvot6vU4byv5yW0oj
164,165,sandra’s rose,Drake,4378996,https://open.spotify.com/track/1sPLURKAosM3Jampgp9AWq
165,166,bigger than you,2 Chainz,4372979,https://open.spotify.com/track/5S1IUPueD0xE0vj4zU3nSf
166,167,halo,Beyoncé,4368364,https://open.spotify.com/track/2CvOqDpQIMw69cCzWqr5yr
167,168,no quiero amarte,Justin Quiles,4355849,https://open.spotify.com/track/5bITfqKGaPakO1l99hOMsI
168,169,feels like summer,Childish Gambino,4339960,https://open.spotify.com/track/7p4vHnYXkxlzvfePJVpcTr
169,170,never be the same,Camila Cabello,4311818,https://open.spotify.com/track/4eWQlBRaTjPPUlzacqEeoQ
170,171,what lovers do,Maroon 5,4261089,https://open.spotify.com/track/0GxQ1A5L9xnMOytbP6eKBG
171,172,numb,XXXTENTACION,4244059,https://open.spotify.com/track/01TnVDiet1DFTsyWKUKovl
172,173,silence,Marshmello,4239465,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
173,174,all of me,John Legend,4227768,https://open.spotify.com/track/3uhBIQ7tv8j1FME8cFGEfG
174,175,esskeetit,Lil Pump,4226932,https://open.spotify.com/track/44KKhCyI0BGS6LvVyDqJtH
175,176,ao vivo e a cores,Matheus & Kauan,4206628,https://open.spotify.com/track/2Ab1wPTEqulaCGoBak1gUo
176,177,goosebumps,Travis Scott,4196235,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
177,178,finesse,Drake,4179900,https://open.spotify.com/track/590bUp2TKTfTS9NfiD4Nmn
178,179,simple,Florida Georgia Line,4177940,https://open.spotify.com/track/4P92FrvmYQSAfOpp4cpFEi
179,180,young dumb & broke,Khalid,4139250,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
180,181,paranoid,Post Malone,4076428,https://open.spotify.com/track/3fpVWegR6YOS1Yk5HSMYIq
181,182,wonderwall - remastered,Oasis,4037172,https://open.spotify.com/track/5qqabIl2vWzo9ApSC317sa
182,183,criminal,Natti Natasha,4031022,https://open.spotify.com/track/6Za3190Sbw39BBC77WSS1C
183,184,thinking out loud,Ed Sheeran,4026880,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg
184,185,sorry not sorry,Demi Lovato,4026211,https://open.spotify.com/track/3Du2K5dLzmduCNp6uwuaL0
185,186,guatemala - from swaecation,Rae Sremmurd,4023775,https://open.spotify.com/track/0TCnOEVeLQMXOUrpPlM7uY
186,187,mi gente,J Balvin,4015896,https://open.spotify.com/track/7COfe3P7KgfwDwIRB8LIDw
187,188,whatever it takes,Imagine Dragons,4012717,https://open.spotify.com/track/0yt31hMKZMiyIEfiBiLD2N
188,189,let me down slowly,Alec Benjamin,4010704,https://open.spotify.com/track/2uaiyLKnYvazyfR0Ky3Kbk
189,190,let you down,NF,4004612,https://open.spotify.com/track/52okn5MNA47tk87PeZJLEL
190,191,that's what i like,Bruno Mars,4002716,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
191,192,solita,Ozuna,4001335,https://open.spotify.com/track/7rwX0O3RlxqqIjQM8evm5E
192,193,für euch alle,Bushido,4000895,https://open.spotify.com/track/78CLZUWhsxIDwObCKOh1fh
193,194,take me to church,Hozier,3996559,https://open.spotify.com/track/3KYOGt8IO6j8wptkG9THag
194,195,fake love,BTS,3948076,https://open.spotify.com/track/3aW0ds4A4tSQDIp75FqWTo
195,196,jaded,Drake,3947144,https://open.spotify.com/track/3jipFRgLyKK0oJoG1pKicx
196,197,let her go,Passenger,3944815,https://open.spotify.com/track/2jyjhRf6DVbMPU5zxagN2h
197,198,mr. brightside,The Killers,3934737,https://open.spotify.com/track/7oK9VyNzrYvRFo7nQEYkWN
198,199,leave a light on,Tom Walker,3933774,https://open.spotify.com/track/6lOWoTqVnAWXchddtTH31W
199,200,jump,Julia Michaels,3913593,https://open.spotify.com/track/2OvV4NjEBRE9v8Oo7QeUCq
