,Unnamed: 0,id,track_name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
33,33,63SevszngYpZOwf63o61K,nevermind,Dennis Lloyd,0.5920000000000001,0.691,3,-8.354,1,0.196,0.156,9.78e-06,0.418,0.0796,99.976,156600,4
34,34,2hl6q70unbviGo3g1R7uF,?chame la culpa,Luis Fonsi,0.726,0.889,0,-3.655,1,0.0429,0.0328,0.0,0.0925,0.649,96.024,173720,4
35,35,0d2iYfpKoM0QCKvcLCkBa,eastside,benny blanco,0.56,0.68,6,-7.648,0,0.321,0.555,0.0,0.11599999999999999,0.319,89.391,173800,4
36,36,4eWQlBRaTjPPUlzacqEeo,never be the same,Camila Cabello,0.637,0.713,0,-4.333,1,0.0747,0.18100000000000002,0.000637,0.13699999999999998,0.243,129.923,226973,4
37,37,0tBbt8CrmxbjRP0pueQky,wolves,Selena Gomez,0.72,0.807,11,-4.59,0,0.0432,0.129,0.0,0.183,0.305,124.946,197993,4
38,38,7AFASza1mXqntmGtbxXpr,changes,XXXTENTACION,0.669,0.308,11,-10.068,1,0.028999999999999998,0.883,0.0,0.0984,0.52,64.934,121887,4
39,39,0E9ZjEAyAwOXZ7wJC0PD3,in my mind,Dynoro,0.6940000000000001,0.77,6,-5.335,1,0.149,0.17600000000000002,1.1e-05,0.11800000000000001,0.163,125.905,184560,4
40,40,1cS0TgbR263ey9jn0MwD2,river,Eminem,0.748,0.7490000000000001,8,-5.916,0,0.516,0.142,0.0,0.0713,0.659,90.09,221013,4
41,41,6KuqAtoeVzxAYOaMveLNp,dura,Daddy Yankee,0.7909999999999999,0.848,1,-3.4560000000000004,1,0.0506,0.183,0.0,0.409,0.828,95.0,200480,4
42,42,2xLMifQCjDGFmkHkpNLD9,sicko mode,Travis Scott,0.8340000000000001,0.73,8,-3.714,1,0.222,0.00513,0.0,0.124,0.446,155.00799999999998,312820,4
43,43,1zB4vmk8tFRmM9UULNzbL,thunder,Imagine Dragons,0.605,0.8220000000000001,0,-4.833,1,0.0438,0.00671,0.134,0.147,0.28800000000000003,167.997,187147,4
44,44,6jA8JUuPCGYjFcgw0AoM5,me niego,Reik,0.777,0.779,0,-4.449,0,0.0972,0.0543,0.0,0.636,0.768,94.023,221653,4
45,45,4kWO6O1BUXcZmaxitpVUw,jackie chan,Ti?sto,0.747,0.8340000000000001,3,-2.867,0,0.045,0.374,0.0,0.0586,0.687,128.005,215760,4
46,46,3Vo4wInECJQuz9BIBMOu8,finesse  [feat. cardi b],Bruno Mars,0.7040000000000001,0.8590000000000001,5,-4.877,0,0.0996,0.0185,0.0,0.0215,0.9259999999999999,105.115,217289,4
47,47,4hQ6UGyWQIGJmHSo0J88J,back to you - from 13 reasons why ? season 2 soundtrack,Selena Gomez,0.601,0.7240000000000001,6,-4.856,1,0.0486,0.0945,1.68e-06,0.12,0.508,102.061,207905,4
48,48,52okn5MNA47tk87PeZJLE,let you down,NF,0.6559999999999999,0.721,5,-5.665,0,0.122,0.298,0.0,0.17300000000000001,0.46799999999999997,148.066,212120,4
49,49,1gm616Plq4ScqNi7TVkZ5,call out my name,The Weeknd,0.489,0.598,1,-4.928999999999999,1,0.036000000000000004,0.218,0.0,0.35,0.172,134.045,228373,3
50,50,7sO5G9EABYOXQKNPNiE9N,ric flair drip,Offset,0.88,0.428,9,-8.28,1,0.20600000000000002,0.149,5.07e-05,0.114,0.33299999999999996,100.007,172800,4
51,51,2dpaYNEQHiRxtZbfNsse9,happier,Marshmello,0.687,0.792,5,-2.7489999999999997,1,0.0452,0.191,0.0,0.16699999999999998,0.6709999999999999,100.015,214290,4
52,52,1mXVgsBdtIVeCLJnSnmtd,too good at goodbyes,Sam Smith,0.698,0.375,5,-8.279,1,0.0491,0.652,0.0,0.17300000000000001,0.534,91.92,201000,4
53,53,10Igtw8bSDyyFs7KIsKng,freaky friday,Lil Dicky,0.755,0.599,8,-5.042,1,0.22399999999999998,0.147,0.0,0.109,0.755,133.123,216632,4
54,54,0pqnGHJpmpxLKifKRmU6W,believer,Imagine Dragons,0.7759999999999999,0.78,10,-4.374,0,0.128,0.0622,0.0,0.081,0.6659999999999999,124.949,204347,4
55,55,2E124GmJRnBJuXbTb4cPU,fefe,6ix9ine,0.9309999999999999,0.387,1,-9.127,1,0.41200000000000003,0.08800000000000001,0.0,0.136,0.376,125.978,179405,4
56,56,3KLygy1YWhmrQx0GRs7IO,rise,Jonas Blue,0.687,0.785,1,-4.65,1,0.0333,0.327,0.0,0.203,0.655,106.046,194408,4
57,57,7K7MUBCnzgBAvMVW2RTWN,body,Loud Luxury,0.752,0.764,1,-4.399,1,0.038,0.0476,9.44e-05,0.0543,0.5820000000000001,121.958,163216,4
58,58,7GX5flRQZVHRAGd6B4TmD,xo tour llif3,Lil Uzi Vert,0.732,0.75,11,-6.3660000000000005,0,0.231,0.00264,0.0,0.109,0.401,155.096,182707,4
59,59,2ijef6ni2amuunRoKTlgw,sin pijama,Becky G,0.7909999999999999,0.745,11,-3.695,0,0.0464,0.354,2.9299999999999997e-05,0.10400000000000001,0.82,94.014,188560,4
60,60,2BgEsaKNfHUdlh97KmvFy,2002,Anne-Marie,0.6970000000000001,0.6829999999999999,1,-2.8810000000000002,0,0.11699999999999999,0.0372,0.0,0.13699999999999998,0.603,96.133,186987,4
61,61,0TlLq3lA83rQOYtrqBqSc,nonstop,Drake,0.912,0.41200000000000003,7,-8.074,1,0.124,0.0164,0.013000000000000001,0.10400000000000001,0.42200000000000004,154.983,238614,4
62,62,7AQim7LbvFVZJE3O8TYgf,fuck love,XXXTENTACION,0.797,0.5329999999999999,0,-9.74,0,0.0412,0.0172,0.000152,0.10300000000000001,0.32899999999999996,131.036,146520,4
63,63,2QZ7WLBE8h2y1Y5Fb8RYb,in my blood,Shawn Mendes,0.622,0.7120000000000001,5,-7.321000000000001,1,0.066,0.0573,0.0,0.13,0.48700000000000004,140.025,211360,4
64,64,7vGuf3Y35N4wmASOKLUVV,silence,Marshmello,0.52,0.7609999999999999,4,-3.093,1,0.0853,0.256,4.96e-06,0.17,0.28600000000000003,141.971,180823,4
65,65,5OCJzvD7sykQEKHH7qAC3,god is a woman,Ariana Grande,0.602,0.6579999999999999,1,-5.934,1,0.0558,0.0233,5.9999999999999995e-05,0.237,0.268,145.031,197547,4
66,66,1j6xOGusnyXq3l6IryKF3,d?jala que vuelva,Piso 21,0.6809999999999999,0.7879999999999999,1,-4.323,1,0.0785,0.0482,0.0,0.0753,0.8390000000000001,170.019,220117,4
67,67,66BjcDhhwWCcQIBxHMpKX,flames,David Guetta,0.631,0.649,5,-5.892,0,0.0385,0.0817,3.8e-06,0.0934,0.42100000000000004,93.95,194680,4
68,68,0WdGQhoAP2LBsqr5Jhit2,what lovers do,Maroon 5,0.799,0.597,5,-5.131,0,0.0611,0.0788,5.66e-06,0.1,0.419,110.001,199849,4
69,69,4w8niZpiMy6qz1mntFA5u,taki taki,DJ Snake,0.841,0.7979999999999999,1,-4.206,0,0.22899999999999998,0.153,3.33e-06,0.0618,0.591,95.948,212500,4
70,70,5Gu0PDLN4YJeW75PpBSg9,let me go,Hailee Steinfeld,0.6629999999999999,0.708,8,-4.154,1,0.0473,0.0337,0.0,0.0841,0.742,103.073,174800,4
